"","x"
"id","158831"
"num_sales","3"
"image_url","https://lh3.googleusercontent.com/7bRocEaoBrWYBX3vThkHj4kAV3b3mKG-Kem85xeT-D8oHpvQ19kcoiBd9mIFeNU0GrwZGvj6Oc5NAEGBSsGlrww"
"image_preview_url","https://lh3.googleusercontent.com/7bRocEaoBrWYBX3vThkHj4kAV3b3mKG-Kem85xeT-D8oHpvQ19kcoiBd9mIFeNU0GrwZGvj6Oc5NAEGBSsGlrww=s250"
"image_thumbnail_url","https://lh3.googleusercontent.com/7bRocEaoBrWYBX3vThkHj4kAV3b3mKG-Kem85xeT-D8oHpvQ19kcoiBd9mIFeNU0GrwZGvj6Oc5NAEGBSsGlrww=s128"
"image_original_url","https://www.larvalabs.com/cryptopunks/cryptopunk1.png"
"name","CryptoPunk #1"
"external_link","https://www.larvalabs.com/cryptopunks/details/1"
"asset_contract.address","0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb"
"asset_contract.asset_contract_type","non-fungible"
"asset_contract.created_date","2018-01-23T04:51:38.832339"
"asset_contract.name","CryptoPunks"
"asset_contract.nft_version","unsupported"
"asset_contract.schema_name","CRYPTOPUNKS"
"asset_contract.symbol","PUNK"
"asset_contract.description","CryptoPunks launched as a fixed set of 10,000 items in mid-2017 and became one of the inspirations for the ERC-721 standard. They have been featured in places like The New York Times, Christie’s of London, Art|Basel Miami, and The PBS NewsHour."
"asset_contract.external_link","https://www.larvalabs.com/cryptopunks"
"asset_contract.image_url","https://lh3.googleusercontent.com/BdxvLseXcfl57BiuQcQYdJ64v-aI8din7WPk0Pgo3qQFhAUH-B6i-dCqqc_mCkRIzULmwzwecnohLhrcH8A9mpWIZqA7ygc52Sr81hE=s120"
"asset_contract.default_to_fiat","FALSE"
"asset_contract.dev_buyer_fee_basis_points","0"
"asset_contract.dev_seller_fee_basis_points","0"
"asset_contract.only_proxied_transfers","FALSE"
"asset_contract.opensea_buyer_fee_basis_points","0"
"asset_contract.opensea_seller_fee_basis_points","250"
"asset_contract.buyer_fee_basis_points","0"
"asset_contract.seller_fee_basis_points","250"
"permalink","https://opensea.io/assets/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/1"
"collection.payment_tokens.id1","13689077"
"collection.payment_tokens.id2","12182941"
"collection.payment_tokens.id3","4645681"
"collection.payment_tokens.id4","4403908"
"collection.payment_tokens.symbol1","ETH"
"collection.payment_tokens.symbol2","DAI"
"collection.payment_tokens.symbol3","WETH"
"collection.payment_tokens.symbol4","USDC"
"collection.payment_tokens.address1","0x0000000000000000000000000000000000000000"
"collection.payment_tokens.address2","0x6b175474e89094c44da98b954eedeac495271d0f"
"collection.payment_tokens.address3","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"
"collection.payment_tokens.address4","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48"
"collection.payment_tokens.image_url1","https://openseauserdata.com/files/6f8e2979d428180222796ff4a33ab929.svg"
"collection.payment_tokens.image_url2","https://openseauserdata.com/files/8ef8fb3fe707f693e57cdbfea130c24c.svg"
"collection.payment_tokens.image_url3","https://openseauserdata.com/files/accae6b6fb3888cbff27a013729c22dc.svg"
"collection.payment_tokens.image_url4","https://openseauserdata.com/files/749015f009a66abcb3bbb3502ae2f1ce.svg"
"collection.payment_tokens.name1","Ether"
"collection.payment_tokens.name2","Dai Stablecoin"
"collection.payment_tokens.name3","Wrapped Ether"
"collection.payment_tokens.name4","USD Coin"
"collection.payment_tokens.decimals1","18"
"collection.payment_tokens.decimals2","18"
"collection.payment_tokens.decimals3","18"
"collection.payment_tokens.decimals4","6"
"collection.payment_tokens.eth_price1","1"
"collection.payment_tokens.eth_price2","0.00029477"
"collection.payment_tokens.eth_price3","1"
"collection.payment_tokens.eth_price4","0.00029781"
"collection.payment_tokens.usd_price1","3399.18"
"collection.payment_tokens.usd_price2","0.999948"
"collection.payment_tokens.usd_price3","3399.18"
"collection.payment_tokens.usd_price4","1.01"
"collection.primary_asset_contracts.address","0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb"
"collection.primary_asset_contracts.asset_contract_type","non-fungible"
"collection.primary_asset_contracts.created_date","2018-01-23T04:51:38.832339"
"collection.primary_asset_contracts.name","CryptoPunks"
"collection.primary_asset_contracts.nft_version","unsupported"
"collection.primary_asset_contracts.opensea_version",NA
"collection.primary_asset_contracts.owner",NA
"collection.primary_asset_contracts.schema_name","CRYPTOPUNKS"
"collection.primary_asset_contracts.symbol","PUNK"
"collection.primary_asset_contracts.total_supply",NA
"collection.primary_asset_contracts.description","CryptoPunks launched as a fixed set of 10,000 items in mid-2017 and became one of the inspirations for the ERC-721 standard. They have been featured in places like The New York Times, Christie’s of London, Art|Basel Miami, and The PBS NewsHour."
"collection.primary_asset_contracts.external_link","https://www.larvalabs.com/cryptopunks"
"collection.primary_asset_contracts.image_url","https://lh3.googleusercontent.com/BdxvLseXcfl57BiuQcQYdJ64v-aI8din7WPk0Pgo3qQFhAUH-B6i-dCqqc_mCkRIzULmwzwecnohLhrcH8A9mpWIZqA7ygc52Sr81hE=s120"
